"identifikator","nazev","ico","n_osoba_v_cele","osoba_type","osoba_jmeno","pravni_forma","nazev_pravni_formy"
"00288543","Obec Ohrozim","00288543",1,"osoba","MICHAL LUKEŠ","právní-forma/801","Obec"
"00635669","Obec Olbramice","00635669",1,"osoba","DAGMAR KŘUPKOVÁ","právní-forma/801","Obec"
"00259331","Obec Chlum Svaté Maří","00259331",1,"osoba","KAREL SLOBODNÍK","právní-forma/801","Obec"
"00872059","Obec Chodov","00872059",1,"osoba","KAREL ČÍŽEK","právní-forma/801","Obec"
"00259292","Obec Dasnice","00259292",1,"osoba","GABRIELA TURNEROVÁ","právní-forma/801","Obec"
"00573221","Obec Děpoltovice","00573221",1,"osoba","ŠTĚPÁNKA LUXÍKOVÁ","právní-forma/801","Obec"
"00573132","Obec Dolní Rychnov","00573132",1,"osoba","ANNA KLÍMOVÁ","právní-forma/801","Obec"
"00253910","Obec Dolní Žandov","00253910",1,"osoba","ELIŠKA STRÁNSKÁ","právní-forma/801","Obec"
"00253928","Obec Drmoul","00253928",1,"osoba","JOSEF ŠVAJGL","právní-forma/801","Obec"
"00573230","Obec Hájek","00573230",1,"osoba","VÍT HROMÁDKO","právní-forma/801","Obec"
"00259373","Obec Jindřichovice","00259373",1,"osoba","MARTINA MAJDÁKOVÁ","právní-forma/801","Obec"
"00519278","Obec Josefov","00519278",1,"osoba","DANUŠE SUCHÁNKOVÁ","právní-forma/801","Obec"
"00259411","Obec Krajková","00259411",1,"osoba","JOSEF HORVÁT","právní-forma/801","Obec"
"00259420","Obec Královské Poříčí","00259420",1,"osoba","MICHAL KOVÁČ","právní-forma/801","Obec"
"00872067","Obec Krásný Les","00872067",1,"osoba","PAVEL JANDÁK","právní-forma/801","Obec"
"00254011","Obec Křižovatka","00254011",1,"osoba","JAN STRACHOTA","právní-forma/801","Obec"
"00254762","Obec Kyselka","00254762",1,"osoba","ALEŠ LABÍK","právní-forma/801","Obec"
"00254045","Obec Lipová","00254045",1,"osoba","TOMÁŠ LINDA","právní-forma/801","Obec"
"00254789","Obec Merklín","00254789",1,"osoba","ZDENĚK GERÁT","právní-forma/801","Obec"
"00573264","Obec Mírová","00573264",1,"osoba","LENKA BAŠTOVÁ","právní-forma/801","Obec"
"00573302","Obec Vrbice","00573302",1,"osoba","JIŘÍ SOJKA","právní-forma/801","Obec"
"00872083","Obec Vysoká Pec","00872083",1,"osoba","VÁCLAV MALÝ","právní-forma/801","Obec"
"00274739","MĚSTO BOROHRÁDEK","00274739",1,"osoba","MARTIN MORAVEC","právní-forma/801","Obec"
"00277967","Město Janské Lázně","00277967",1,"osoba","MARTIN HUDRLÍK","právní-forma/801","Obec"
"00841838","Obec Valchov","00841838",1,"osoba","KAREL VRÁNA","právní-forma/801","Obec"
